Codice ISTAT;Descrizione ISTAT;Ateco description;Codice Completo;Codice Dotless;Codice REA (solo num)
42.13;Costruzione di ponti e gallerie;Construction of bridges and tunnels;F.42.13;F4213;4213
42.13.0;Costruzione di ponti e gallerie;Construction of bridges and tunnels;F.42.13.0;F42130;42130
42.13.00;Costruzione di ponti e gallerie;Construction of bridges and tunnels;F.42.13.00;F421300;421300
42.2;COSTRUZIONE DI OPERE DI PUBBLICA UTILITÀ;CONSTRUCTION OF PUBLIC UTILITY WORKS;F.42.2;F422;422
42.21;Costruzione di opere di pubblica utilità per il trasporto di fluidi;Construction of public utility works for the transport of fluids;F.42.21;F4221;4221
42.21.0;Costruzione di opere di pubblica utilità per il trasporto di fluidi;Construction of public utility works for the transport of fluids;F.42.21.0;F42210;42210
42.21.00;Costruzione di opere di pubblica utilità per il trasporto di fluidi;Construction of public utility works for the transport of fluids;F.42.21.00;F422100;422100
42.22;Costruzione di opere di pubblica utilità per l'energia elettrica e le telecomunicazioni;Construction of public utility works for electricity and telecommunications;F.42.22;F4222;4222
42.22.0;Costruzione di opere di pubblica utilità per l'energia elettrica e le telecomunicazioni;Construction of public utility works for electricity and telecommunications;F.42.22.0;F42220;42220
42.22.00;Costruzione di opere di pubblica utilità per l'energia elettrica e le telecomunicazioni;Construction of public utility works for electricity and telecommunications;F.42.22.00;F422200;422200
42.9;COSTRUZIONE DI ALTRE OPERE DI INGEGNERIA CIVILE;CONSTRUCTION OF OTHER CIVIL ENGINEERING WORKS;F.42.9;F429;429
42.91;Costruzione di opere idrauliche;Construction of hydraulic works;F.42.91;F4291;4291
42.91.0;Costruzione di opere idrauliche;Construction of hydraulic works;F.42.91.0;F42910;42910
42.91.00;Costruzione di opere idrauliche;Construction of hydraulic works;F.42.91.00;F429100;429100
42.99;Costruzione di altre opere di ingegneria civile n.c.a.;Construction of other civil engineering works n.e.c.;F.42.99;F4299;4299
42.99.0;Costruzione di altre opere di ingegneria civile n.c.a.;Construction of other civil engineering works n.e.c.;F.42.99.0;F42990;42990
42.99.01;Lottizzazione dei terreni connessa con l'urbanizzazione;Land subdivision connected with urbanization;F.42.99.01;F429901;429901
42.99.09;Altre attività di costruzione di altre opere di ingegneria civile n.c.a.;Other construction activities of other civil engineering works n.e.c.;F.42.99.09;F429909;429909
43;LAVORI DI COSTRUZIONE SPECIALIZZATI;SPECIALIZED CONSTRUCTION WORK;F.43;F43;43
43.1;DEMOLIZIONE E PREPARAZIONE DEL CANTIERE EDILE;DEMOLITION AND SITE PREPARATION;F.43.1;F431;431
43.11;Demolizione;Demolition;F.43.11;F4311;4311
43.11.0;Demolizione;Demolition;F.43.11.0;F43110;43110
43.11.00;Demolizione;Demolition;F.43.11.00;F431100;431100
43.12;Preparazione del cantiere edile;Construction site preparation;F.43.12;F4312;4312
43.12.0;Preparazione del cantiere edile e sistemazione del terreno;Construction site preparation and landscaping;F.43.12.0;F43120;43120
43.12.00;Preparazione del cantiere edile e sistemazione del terreno;Construction site preparation and landscaping;F.43.12.00;F431200;431200
43.13;Trivellazioni e perforazioni;Drilling and perforation;F.43.13;F4313;4313
43.13.0;Trivellazioni e perforazioni;Drilling and perforation;F.43.13.0;F43130;43130
43.13.00;Trivellazioni e perforazioni;Drilling and perforation;F.43.13.00;F431300;431300
43.2;INSTALLAZIONE DI IMPIANTI ELETTRICI, IDRAULICI ED ALTRI LAVORI DI COSTRUZIONE E INSTALLAZIONE;ELECTRICAL, PLUMBING AND OTHER CONSTRUCTION AND INSTALLATION WORK;F.43.2;F432;432
43.21;Installazione di impianti elettrici;Installation of electrical systems;F.43.21;F4321;4321
43.21.0;Installazione di impianti elettrici ed elettronici (inclusa manutenzione e riparazione);Installation of electrical and electronic systems (including maintenance and repair);F.43.21.0;F43210;43210
43.21.01;Installazione di impianti elettrici in edifici o in altre opere di costruzione (inclusa manutenzione e riparazione);Installation of electrical systems in buildings or other construction projects (including maintenance and repair);F.43.21.01;F432101;432101
43.21.02;Installazione di impianti elettronici (inclusa manutenzione e riparazione);Installation of electronic systems (including maintenance and repair);F.43.21.02;F432102;432102
43.21.03;Installazione di impianti di illuminazione stradale e dispositivi elettrici di segnalazione, illuminazione delle piste degli aeroporti (inclusa manutenzione e riparazione);Installation of street lighting systems and electrical signaling devices, airport runway lighting (including maintenance and repair);F.43.21.03;F432103;432103
43.21.04;Installazione di insegne elettriche e impianti luce (incluse luminarie per feste);Installation of electric signs and lighting systems (including party lights);F.43.21.04;F432104;432104
43.22;Installazione di impianti idraulici, di riscaldamento e di condizionamento dell'aria;Plumbing, heating and air conditioning installation;F.43.22;F4322;4322
43.22.0;Installazione di impianti idraulici, di riscaldamento e di condizionamento dell'aria (inclusa manutenzione e riparazione);Plumbing, heating and air conditioning installation (including maintenance and repair);F.43.22.0;F43220;43220
43.22.01;Installazione di impianti idraulici, di riscaldamento e di condizionamento dell'aria (inclusa manutenzione e riparazione) in edifici o in altre opere di costruzione;Installation of plumbing, heating and air conditioning systems (including maintenance and repair) in buildings or other construction projects;F.43.22.01;F432201;432201
43.22.02;Installazione di impianti per la distribuzione del gas (inclusa manutenzione e riparazione);Installation of gas distribution systems (including maintenance and repair);F.43.22.02;F432202;432202
43.22.03;Installazione di impianti di spegnimento antincendio (inclusi quelli integrati e la manutenzione e riparazione);Installation of fire extinguishing systems (including integrated ones and maintenance and repair);F.43.22.03;F432203;432203
43.22.04;Installazione di impianti di depurazione per piscine (inclusa manutenzione e riparazione);Installation of pool purification systems (including maintenance and repairs);F.43.22.04;F432204;432204
43.22.05;Installazione di impianti di irrigazione per giardini (inclusa manutenzione e riparazione);Installation of garden irrigation systems (including maintenance and repairs);F.43.22.05;F432205;432205
43.29;Altri lavori di costruzione e installazione;Other construction and installation work;F.43.29;F4329;4329
43.29.0;Altri lavori di costruzione e installazione;Other construction and installation work;F.43.29.0;F43290;43290
43.29.01;Installazione, riparazione e manutenzione di ascensori e scale mobili;Installation, repair and maintenance of elevators and escalators;F.43.29.01;F432901;432901
43.29.02;Lavori di isolamento termico, acustico o antivibrazioni;Thermal, acoustic or anti-vibration insulation works;F.43.29.02;F432902;432902
43.29.09;Altri lavori di costruzione e installazione n.c.a.;Other construction and installation works n.e.c.;F.43.29.09;F432909;432909
43.3;COMPLETAMENTO E FINITURA DI EDIFICI;COMPLETION AND FINISHING OF BUILDINGS;F.43.3;F433;433
43.31;Intonacatura;Plastering;F.43.31;F4331;4331
43.31.0;Intonacatura e stuccatura;Plastering and stuccoing;F.43.31.0;F43310;43310
43.31.00;Intonacatura e stuccatura;Plastering and stuccoing;F.43.31.00;F433100;433100
43.32;Posa in opera di infissi;Installation of window frames;F.43.32;F4332;4332
43.32.0;Posa in opera di infissi, arredi, controsoffitti, pareti mobili e simili;Installation of fixtures, furniture, false ceilings, movable walls and similar;F.43.32.0;F43320;43320
43.32.01;Posa in opera di casseforti, forzieri, porte blindate;Installation of safes, strongboxes, and armored doors;F.43.32.01;F433201;433201
43.32.02;Posa in opera di infissi, arredi, controsoffitti, pareti mobili e simili;Installation of fixtures, furniture, false ceilings, movable walls and similar;F.43.32.02;F433202;433202
43.33;Rivestimento di pavimenti e di muri;Floor and wall coverings;F.43.33;F4333;4333
43.33.0;Rivestimento di pavimenti e di muri;Floor and wall coverings;F.43.33.0;F43330;43330
43.33.00;Rivestimento di pavimenti e di muri;Floor and wall coverings;F.43.33.00;F433300;433300
43.34;Tinteggiatura e posa in opera di vetri;Painting and glass installation;F.43.34;F4334;4334
43.34.0;Tinteggiatura e posa in opera di vetri;Painting and glass installation;F.43.34.0;F43340;43340
43.34.00;Tinteggiatura e posa in opera di vetri;Painting and glass installation;F.43.34.00;F433400;433400
43.39;Altri lavori di completamento e di finitura degli edifici;Other building completion and finishing works;F.43.39;F4339;4339
43.39.0;Altri lavori di completamento e di finitura degli edifici;Other building completion and finishing works;F.43.39.0;F43390;43390
43.39.01;Attività non specializzate di lavori edili (muratori);Non-specialized construction activities (bricklayers);F.43.39.01;F433901;433901
43.39.09;Altri lavori di completamento e di finitura degli edifici n.c.a.;Other building completion and finishing works n.e.c.;F.43.39.09;F433909;433909
43.9;ALTRI LAVORI SPECIALIZZATI DI COSTRUZIONE;OTHER SPECIALIZED CONSTRUCTION WORKS;F.43.9;F439;439
43.91;Realizzazione di coperture;Construction of roofs;F.43.91;F4391;4391
43.91.0;Realizzazione di coperture;Construction of roofs;F.43.91.0;F43910;43910
43.91.00;Realizzazione di coperture;Construction of roofs;F.43.91.00;F439100;439100
43.99;Altri lavori specializzati di costruzione n.c.a.;Other specialized construction activities n.e.c.;F.43.99;F4399;4399
43.99.0;Altri lavori specializzati di costruzione n.c.a.;Other specialized construction activities n.e.c.;F.43.99.0;F43990;43990
43.99.01;Pulizia a vapore, sabbiatura e attività simili per pareti esterne di edifici;Steam cleaning, sandblasting and similar activities for external walls of buildings;F.43.99.01;F439901;439901
43.99.02;Noleggio di gru ed altre attrezzature con operatore per la costruzione o la demolizione;Rental of cranes and other equipment with operator for construction or demolition;F.43.99.02;F439902;439902
43.99.09;Altre attività di lavori specializzati di costruzione n.c.a.;Other specialized construction activities n.e.c.;F.43.99.09;F439909;439909
G;"COMMERCIO ALL'INGROSSO E AL DETTAGLIO; RIPARAZIONE DI AUTOVEICOLI E MOTOCICLI";"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES";G;G;
45;COMMERCIO ALL'INGROSSO E AL DETTAGLIO E RIPARAZIONE DI AUTOVEICOLI E MOTOCICLI;WHOLESALE AND RETAIL TRADE AND REPAIR OF MOTOR VEHICLES AND MOTORCYCLES;G.45;G45;45
45.1;COMMERCIO DI AUTOVEICOLI;MOTOR VEHICLE TRADE;G.45.1;G451;451
45.11;Commercio di autovetture e di autoveicoli leggeri;Trade in cars and light motor vehicles;G.45.11;G4511;4511
45.11.0;Commercio di autovetture e di autoveicoli leggeri;Trade in cars and light motor vehicles;G.45.11.0;G45110;45110
45.11.01;Commercio all'ingrosso e al dettaglio di autovetture e di autoveicoli leggeri;Wholesale and retail trade of cars and light motor vehicles;G.45.11.01;G451101;451101
45.11.02;Intermediari del commercio di autovetture e di autoveicoli leggeri (incluse le agenzie di compravendita);Intermediaries in the trade of cars and light motor vehicles (including buying and selling agencies);G.45.11.02;G451102;451102
45.19;Commercio di altri autoveicoli;Trade of other motor vehicles;G.45.19;G4519;4519
45.19.0;Commercio di altri autoveicoli;Trade of other motor vehicles;G.45.19.0;G45190;45190
45.19.01;Commercio all'ingrosso e al dettaglio di altri autoveicoli;Wholesale and retail trade of other motor vehicles;G.45.19.01;G451901;451901
45.19.02;Intermediari del commercio di altri autoveicoli (incluse le agenzie di compravendita);Intermediaries in the trade of other motor vehicles (including buying and selling agencies);G.45.19.02;G451902;451902
45.2;MANUTENZIONE E RIPARAZIONE DI AUTOVEICOLI;MAINTENANCE AND REPAIR OF MOTOR VEHICLES;G.45.2;G452;452
45.20;Manutenzione e riparazione di autoveicoli;MAINTENANCE AND REPAIR OF MOTOR VEHICLES;G.45.20;G4520;4520
45.20.1;Riparazioni meccaniche di autoveicoli;Mechanical repairs of motor vehicles;G.45.20.1;G45201;45201
45.20.10;Riparazioni meccaniche di autoveicoli;Mechanical repairs of motor vehicles;G.45.20.10;G452010;452010
45.20.2;Riparazione di carrozzerie di autoveicoli;Car body repair;G.45.20.2;G45202;45202
45.20.20;Riparazione di carrozzerie di autoveicoli;Car body repair;G.45.20.20;G452020;452020
45.20.3;Riparazione di impianti elettrici e di alimentazione per autoveicoli;Repair of electrical and power systems for motor vehicles;G.45.20.3;G45203;45203
45.20.30;Riparazione di impianti elettrici e di alimentazione per autoveicoli;Repair of electrical and power systems for motor vehicles;G.45.20.30;G452030;452030
45.20.4;Riparazione e sostituzione di pneumatici per autoveicoli;Repair and replacement of automotive tires;G.45.20.4;G45204;45204
45.20.40;Riparazione e sostituzione di pneumatici per autoveicoli;Repair and replacement of automotive tires;G.45.20.40;G452040;452040
45.20.9;Autolavaggio e altre attività di manutenzione;Car wash and other maintenance activities;G.45.20.9;G45209;45209
45.20.91;Lavaggio autoveicoli;Car wash;G.45.20.91;G452091;452091
45.20.99;Altre attività di manutenzione e di riparazione di autoveicoli;Other motor vehicle maintenance and repair activities;G.45.20.99;G452099;452099
45.3;COMMERCIO DI PARTI E ACCESSORI DI AUTOVEICOLI;TRADE OF MOTOR VEHICLE PARTS AND ACCESSORIES;G.45.3;G453;453
45.31;Commercio all'ingrosso ed intermediazione di parti e accessori di autoveicoli;Wholesale trade and brokerage of motor vehicle parts and accessories;G.45.31;G4531;4531
45.31.0;Commercio all'ingrosso ed intermediazione di parti e accessori di autoveicoli;Wholesale trade and brokerage of motor vehicle parts and accessories;G.45.31.0;G45310;45310
45.31.01;Commercio all'ingrosso di parti e accessori di autoveicoli;Wholesale trade of motor vehicle parts and accessories;G.45.31.01;G453101;453101
45.31.02;Intermediari del commercio di parti ed accessori di autoveicoli;Intermediaries in the trade of motor vehicle parts and accessories;G.45.31.02;G453102;453102
45.32;Commercio al dettaglio di parti e accessori di autoveicoli;Retail trade of motor vehicle parts and accessories;G.45.32;G4532;4532
45.32.0;Commercio al dettaglio di parti e accessori di autoveicoli;Retail trade of motor vehicle parts and accessories;G.45.32.0;G45320;45320
45.32.00;Commercio al dettaglio di parti e accessori di autoveicoli;Retail trade of motor vehicle parts and accessories;G.45.32.00;G453200;453200
45.4;COMMERCIO, MANUTENZIONE E RIPARAZIONE DI MOTOCICLI E RELATIVE PARTI ED ACCESSORI;TRADE, MAINTENANCE AND REPAIR OF MOTORCYCLES AND RELATED PARTS AND ACCESSORIES;G.45.4;G454;454
45.40;Commercio, manutenzione e riparazione di motocicli e relative parti ed accessori;TRADE, MAINTENANCE AND REPAIR OF MOTORCYCLES AND RELATED PARTS AND ACCESSORIES;G.45.40;G4540;4540
45.40.1;Commercio all'ingrosso e al dettaglio ed intermediazione di motocicli e ciclomotori;Wholesale and retail trade and brokerage of motorcycles and mopeds;G.45.40.1;G45401;45401
45.40.11;Commercio all'ingrosso e al dettaglio di motocicli e ciclomotori;Wholesale and retail trade of motorcycles and mopeds;G.45.40.11;G454011;454011
45.40.12;Intermediari del commercio di motocicli e ciclomotori;Intermediaries in the trade of motorcycles and mopeds;G.45.40.12;G454012;454012
45.40.2;Commercio all'ingrosso e al dettaglio ed intermediazione di parti e accessori per motocicli e ciclomotori;Wholesale and retail trade and brokerage of parts and accessories for motorcycles and mopeds;G.45.40.2;G45402;45402
45.40.21;Commercio all'ingrosso e al dettaglio di parti e accessori per motocicli e ciclomotori;Wholesale and retail trade of parts and accessories for motorcycles and mopeds;G.45.40.21;G454021;454021
45.40.22;Intermediari del commercio di parti ed accessori di motocicli e ciclomotori;Intermediaries in the trade of parts and accessories for motorcycles and mopeds;G.45.40.22;G454022;454022
45.40.3;Manutenzione e riparazione di motocicli e ciclomotori (inclusi i pneumatici);Maintenance and repair of motorcycles and mopeds (including tires);G.45.40.3;G45403;45403
45.40.30;Manutenzione e riparazione di motocicli e ciclomotori (inclusi i pneumatici);Maintenance and repair of motorcycles and mopeds (including tires);G.45.40.30;G454030;454030
46;COMMERCIO ALL'INGROSSO (ESCLUSO QUELLO DI AUTOVEICOLI E DI MOTOCICLI);WHOLESALE TRADE (EXCLUDING MOTOR VEHICLES AND MOTORCYCLES);G.46;G46;46
46.1;INTERMEDIARI DEL COMMERCIO;TRADE INTERMEDIARIES;G.46.1;G461;461
46.11;Intermediari del commercio di materie prime agricole, di animali vivi, di materie prime tessili e di semilavorati;Intermediaries in the trade of agricultural raw materials, live animals, textile raw materials and semi-finished products;G.46.11;G4611;4611
46.11.0;"Intermediari del commercio di materie prime agricole, di animali vivi, di materie prime tessili e di semilavorati; pelli grezze";"Intermediaries in the trade of agricultural raw materials, live animals, textile raw materials and semi-finished products; raw hides";G.46.11.0;G46110;46110
46.11.01;Agenti e rappresentanti di materie prime agricole;Agents and representatives of agricultural raw materials;G.46.11.01;G461101;461101
46.11.02;Agenti e rappresentanti di fiori e piante;Agents and representatives of flowers and plants;G.46.11.02;G461102;461102
46.11.03;Agenti e rappresentanti di animali vivi;Live animal agents and representatives;G.46.11.03;G461103;461103
46.11.04;"Agenti e rappresentanti di fibre tessili gregge e semilavorate; pelli grezze";"Agents and representatives of raw and semi-finished textile fibres; raw hides";G.46.11.04;G461104;461104
46.11.05;"Procacciatori d'affari di materie prime agricole, animali vivi, materie prime e semilavorati tessili; pelli grezze";"Business brokers of agricultural raw materials, live animals, textile raw materials and semi-finished products; raw hides";G.46.11.05;G461105;461105
46.11.06;"Mediatori in materie prime agricole, materie prime e semilavorati tessili; pelli grezze";"Brokers of agricultural raw materials, textile raw materials and semi-finished products; raw hides";G.46.11.06;G461106;461106
46.11.07;Mediatori in animali vivi;Mediators in live animals;G.46.11.07;G461107;461107
46.12;Intermediari del commercio di combustibili, minerali, metalli e prodotti chimici;Intermediaries in the trade of fuels, minerals, metals and chemical products;G.46.12;G4612;4612
46.12.0;Intermediari del commercio di combustibili, minerali, metalli e prodotti chimici;Intermediaries in the trade of fuels, minerals, metals and chemical products;G.46.12.0;G46120;46120
46.12.01;"Agenti e rappresentanti di carburanti, gpl, gas in bombole e simili; lubrificanti";"Agents and representatives of fuels, LPG, gas in cylinders and similar; lubricants";G.46.12.01;G461201;461201
46.12.02;Agenti e rappresentanti di combustibili solidi;Solid fuel agents and representatives;G.46.12.02;G461202;461202
46.12.03;Agenti e rappresentanti di minerali, metalli e prodotti semilavorati;Agents and representatives of minerals, metals and semi-finished products;G.46.12.03;G461203;461203
46.12.04;Agenti e rappresentanti di prodotti chimici per l'industria;Agents and representatives of chemical products for industry;G.46.12.04;G461204;461204
46.12.05;Agenti e rappresentanti di prodotti chimici per l'agricoltura (inclusi i fertilizzanti);Agents and representatives of agricultural chemicals (including fertilizers);G.46.12.05;G461205;461205
46.12.06;Procacciatori d'affari di combustibili, minerali, metalli e prodotti chimici;Business brokers of fuels, minerals, metals and chemicals;G.46.12.06;G461206;461206
46.12.07;Mediatori in combustibili, minerali, metalli e prodotti chimici;Brokers in fuels, minerals, metals and chemicals;G.46.12.07;G461207;461207
46.13;Intermediari del commercio di legname e materiali da costruzione;Intermediaries in the trade of timber and building materials;G.46.13;G4613;4613
46.13.0;Intermediari del commercio di legname e materiali da costruzione;Intermediaries in the trade of timber and building materials;G.46.13.0;G46130;46130
46.13.01;Agenti e rappresentanti di legname, semilavorati in legno e legno artificiale;Agents and representatives of timber, semi-finished wood and artificial wood;G.46.13.01;G461301;461301
46.13.02;"Agenti e rappresentanti di materiale da costruzione (inclusi gli infissi e gli articoli igienico-sanitari); vetro piano";"Agents and representatives of building materials (including window frames and sanitary ware); flat glass";G.46.13.02;G461302;461302
46.13.03;Agenti e rappresentanti di apparecchi ed accessori per riscaldamento e condizionamento e altri prodotti similari;Agents and representatives of heating and air conditioning appliances and accessories and other similar products;G.46.13.03;G461303;461303
46.13.04;Procacciatori d'affari di legname e materiali da costruzione;Timber and building materials business brokers;G.46.13.04;G461304;461304
46.13.05;Mediatori in legname e materiali da costruzione;Timber and building materials brokers;G.46.13.05;G461305;461305
46.14;Intermediari del commercio di macchinari, impianti industriali, navi e aeromobili;Intermediaries in the trade of machinery, industrial plants, ships and aircraft;G.46.14;G4614;4614
46.14.0;Intermediari del commercio di macchinari, impianti industriali, navi e aeromobili, macchine agricole, macchine per ufficio, attrezzature per le telecomunicazioni, computer e loro periferiche;Agents involved in the trade of machinery, industrial plants, ships and aircraft, agricultural machinery, office machinery, telecommunications equipment, computers and their peripherals;G.46.14.0;G46140;46140
46.14.01;"Agenti e rappresentanti di macchine, attrezzature ed impianti per l'industria ed il commercio; materiale e apparecchi elettrici ed elettronici per uso non domestico";"Agents and representatives of machinery, equipment and systems for industry and commerce; electrical and electronic materials and appliances for non-domestic use";G.46.14.01;G461401;461401
46.14.02;Agenti e rappresentanti di macchine per costruzioni edili e stradali;Agents and representatives of construction and road building machinery;G.46.14.02;G461402;461402
46.14.03;Agenti e rappresentanti di macchine, attrezzature per ufficio, attrezzature per le telecomunicazioni, computer e loro periferiche;Agents and representatives of machinery, office equipment, telecommunications equipment, computers and their peripherals;G.46.14.03;G461403;461403
46.14.04;Agenti e rappresentanti di macchine ed attrezzature per uso agricolo (inclusi i trattori);Agents and representatives of agricultural machinery and equipment (including tractors);G.46.14.04;G461404;461404
46.14.05;Agenti e rappresentanti di navi, aeromobili e altri veicoli (esclusi autoveicoli, motocicli, ciclomotori e biciclette);Agents and representatives of ships, aircraft and other vehicles (excluding motor vehicles, motorcycles, mopeds and bicycles);G.46.14.05;G461405;461405
46.14.06;Procacciatori d'affari di macchinari, impianti industriali, navi e aeromobili, macchine agricole, macchine per ufficio, attrezzature per le telecomunicazioni, computer e loro periferiche;Business agents for machinery, industrial plants, ships and aircraft, agricultural machinery, office machinery, telecommunications equipment, computers and their peripherals;G.46.14.06;G461406;461406
46.14.07;Mediatori in macchinari, impianti industriali, navi e aeromobili, macchine agricole, macchine per ufficio, attrezzature per le telecomunicazioni, computer e loro periferiche;Brokers in machinery, industrial plants, ships and aircraft, agricultural machinery, office machinery, telecommunications equipment, computers and their peripherals;G.46.14.07;G461407;461407
46.15;Intermediari del commercio di mobili, articoli per la casa e ferramenta;Intermediaries in the trade of furniture, household goods and hardware;G.46.15;G4615;4615
46.15.0;Intermediari del commercio di mobili, articoli per la casa e ferramenta;Intermediaries in the trade of furniture, household goods and hardware;G.46.15.0;G46150;46150
46.15.01;Agenti e rappresentanti di mobili in legno, metallo e materie plastiche;Agents and representatives of wooden, metal and plastic furniture;G.46.15.01;G461501;461501
46.15.02;Agenti e rappresentanti di articoli di ferramenta e di bricolage;Agents and representatives of hardware and DIY items;G.46.15.02;G461502;461502
46.15.03;Agenti e rappresentanti di articoli casalinghi, porcellane, articoli in vetro eccetera;Agents and representatives of household goods, porcelain, glassware, etc.;G.46.15.03;G461503;461503
46.15.04;Agenti e rappresentanti di vernici, carte da parati, stucchi e cornici decorativi;Agents and representatives of paints, wallpapers, stuccos and decorative frames;G.46.15.04;G461504;461504
46.15.05;"Agenti e rappresentanti di mobili e oggetti di arredamento per la casa in canna, vimini, giunco, sughero, paglia; scope, spazzole, cesti e simili";"Agents and representatives of furniture and home furnishings made of cane, wicker, rush, cork, straw; brooms, brushes, baskets and the like";G.46.15.05;G461505;461505
46.15.06;Procacciatori d'affari di mobili, articoli per la casa e ferramenta;Furniture, household goods and hardware business agents;G.46.15.06;G461506;461506
46.15.07;Mediatori in mobili, articoli per la casa e ferramenta;Furniture, household goods and hardware brokers;G.46.15.07;G461507;461507
46.16;Intermediari del commercio di prodotti tessili, abbigliamento, pellicce, calzature e articoli in pelle;Intermediaries in the trade of textile products, clothing, furs, footwear and leather goods;G.46.16;G4616;4616
46.16.0;Intermediari del commercio di prodotti tessili, abbigliamento, pellicce, calzature e articoli in pelle;Intermediaries in the trade of textile products, clothing, furs, footwear and leather goods;G.46.16.0;G46160;46160
46.16.01;Agenti e rappresentanti di vestiario ed accessori di abbigliamento;Agents and representatives of clothing and clothing accessories;G.46.16.01;G461601;461601
46.16.02;Agenti e rappresentanti di pellicce;Fur agents and representatives;G.46.16.02;G461602;461602
46.16.03;Agenti e rappresentanti di tessuti per abbigliamento ed arredamento (incluse merceria e passamaneria);Agents and representatives of clothing and furnishing fabrics (including haberdashery and trimmings);G.46.16.03;G461603;461603
46.16.04;Agenti e rappresentanti di camicie, biancheria e maglieria intima;Agents and representatives of shirts, underwear and knitwear;G.46.16.04;G461604;461604
46.16.05;Agenti e rappresentanti di calzature ed accessori;Agents and representatives of footwear and accessories;G.46.16.05;G461605;461605
46.16.06;Agenti e rappresentanti di pelletteria, valige ed articoli da viaggio;Agents and representatives of leather goods, luggage and travel goods;G.46.16.06;G461606;461606
46.16.07;Agenti e rappresentanti di articoli tessili per la casa, tappeti, stuoie e materassi;Agents and representatives of home textiles, carpets, mats and mattresses;G.46.16.07;G461607;461607
46.16.08;Procacciatori d'affari di prodotti tessili, abbigliamento, pellicce, calzature e articoli in pelle;Business agents for textiles, clothing, furs, footwear and leather goods;G.46.16.08;G461608;461608
46.16.09;Mediatori in prodotti tessili, abbigliamento, pellicce, calzature e articoli in pelle;Brokers in textiles, clothing, furs, footwear and leather goods;G.46.16.09;G461609;461609
46.17;Intermediari del commercio di prodotti alimentari, bevande e tabacco;Intermediaries in the trade of food, beverage and tobacco products;G.46.17;G4617;4617
46.17.0;Intermediari del commercio di prodotti alimentari, bevande e tabacco;Intermediaries in the trade of food, beverage and tobacco products;G.46.17.0;G46170;46170
46.17.01;Agenti e rappresentanti di prodotti ortofrutticoli freschi, congelati e surgelati;Agents and representatives of fresh, frozen, and deep-frozen fruit and vegetable products;G.46.17.01;G461701;461701
46.17.02;"Agenti e rappresentanti di carni fresche, congelate, surgelate, conservate e secche; salumi";"Agents and representatives of fresh, frozen, deep-frozen, preserved and dried meats; cured meats";G.46.17.02;G461702;461702
46.17.03;Agenti e rappresentanti di latte, burro e formaggi;Milk, butter and cheese agents and representatives;G.46.17.03;G461703;461703
46.17.04;Agenti e rappresentanti di oli e grassi alimentari: olio d'oliva e di semi, margarina ed altri prodotti similari;Agents and representatives of edible oils and fats: olive oil and seed oil, margarine and other similar products;G.46.17.04;G461704;461704
46.17.05;Agenti e rappresentanti di bevande e prodotti similari;Agents and representatives of beverages and similar products;G.46.17.05;G461705;461705
46.17.06;Agenti e rappresentanti di prodotti ittici freschi, congelati, surgelati, conservati e secchi;Agents and representatives of fresh, frozen, deep-frozen, preserved and dried seafood products;G.46.17.06;G461706;461706
46.17.07;"Agenti e rappresentanti di altri prodotti alimentari (incluse le uova e gli alimenti per gli animali domestici); tabacco";"Agents and representatives of other food products (including eggs and pet food); tobacco";G.46.17.07;G461707;461707
46.17.08;Procacciatori d'affari di prodotti alimentari, bevande e tabacco;Business agents for food, beverage and tobacco products;G.46.17.08;G461708;461708
46.17.09;Mediatori in prodotti alimentari, bevande e tabacco;Food, beverage and tobacco brokers;G.46.17.09;G461709;461709
46.18;Intermediari del commercio specializzato in altri prodotti;Intermediaries in specialized trade in other products;G.46.18;G4618;4618
46.18.1;Intermediari del commercio di prodotti di carta, cancelleria, libri;Intermediaries in the trade of paper products, stationery, books;G.46.18.1;G46181;46181
46.18.11;"Agenti e rappresentanti di carta e cartone (esclusi gli imballaggi); articoli di cartoleria e cancelleria";"Agents and representatives of paper and cardboard (excluding packaging); stationery and writing articles";G.46.18.11;G461811;461811
46.18.12;Agenti e rappresentanti di libri e altre pubblicazioni (incluso i relativi abbonamenti);Agents and representatives of books and other publications (including subscriptions thereto);G.46.18.12;G461812;461812
46.18.13;Procacciatori d'affari di prodotti di carta, cancelleria, libri;Business agents for paper products, stationery, books;G.46.18.13;G461813;461813
46.18.14;Mediatori in prodotti di carta, cancelleria, libri;Mediators in paper products, stationery, books;G.46.18.14;G461814;461814
46.18.2;Intermediari del commercio di elettronica di consumo audio e video, materiale elettrico per uso domestico, elettrodomestici;Intermediaries in the trade of audio and video consumer electronics, household electrical equipment, and household appliances;G.46.18.2;G46182;46182
46.18.21;Agenti e rappresentanti di elettronica di consumo audio e video, materiale elettrico per uso domestico;Agents and representatives of audio and video consumer electronics, electrical material for domestic use;G.46.18.21;G461821;461821
46.18.22;Agenti e rappresentanti di apparecchi elettrodomestici;Household appliance agents and representatives;G.46.18.22;G461822;461822
46.18.23;Procacciatori d'affari di elettronica di consumo audio e video, materiale elettrico per uso domestico, elettrodomestici;Business agents for audio and video consumer electronics, household electrical equipment, and household appliances;G.46.18.23;G461823;461823
